page,line_enum,text,tokens,x0,y0,x1,y1,width,height,empty_line,only_special,only_special_len,text_wo_numbers,text_wo_numbers_len,text_duplicated,to_delete_line
1,0,Exhibit 10.1,2,505.8125305175781,51.24300003051758,544.9500732421875,58.81800079345703,39.16254,7.6,False,Exhibit 101,2,Exhibit .,2,False,False
1,1,"[***] = Certain confidential information contained in this document,",9,317.70001220703125,60.08089065551758,544.9498901367188,67.65589141845703,227.27488,7.6,False,Certain confidential information contained in this document,7,"[***] = Certain confidential information contained in this document,",9,False,False
1,2,"marked by brackets, has been omitted because it is both",10,361.88751220703125,68.91877746582031,544.949951171875,76.49378204345703,183.08744,7.6,False,marked by brackets has been omitted because it is both,10,"marked by brackets, has been omitted because it is both",10,False,False
1,3,(i) not material and (ii) would likely be competitively harmful if publicly disclosed.,13,272.25,77.75666809082031,544.9500122070312,85.33167266845703,272.72501,7.6,False,i not material and ii would likely be competitively harmful if publicly disclosed,13,(i) not material and (ii) would likely be competitively harmful if publicly disclosed.,13,False,False
1,6,"(Execution Copy March 27, 2019)",5,440.1625061035156,113.07411193847656,544.9501953125,120.64910888671875,104.81269,7.6,False,Execution Copy March 27 2019,5,"(Execution Copy March , )",5,False,False
1,7,SUPPLY AGREEMENT,2,254.57501220703125,142.44886779785156,340.42510986328125,151.28636169433594,85.8751,8.86249,False,SUPPLY AGREEMENT,2,SUPPLY AGREEMENT,2,False,False
1,8,(MB Global Contract Number MBGCR 19001),6,222.38125610351562,159.9360809326172,373.2501220703125,168.142333984375,150.89387,8.23125,False,MB Global Contract Number MBGCR 19001,6,(MB Global Contract Number MBGCR ),6,False,False
1,9,"This Supply Agreement (this “Agreement”) is made and entered into, effective as of March 27, 2019 (the “Effective Date”), by and",21,50.04999923706055,177.1300811767578,544.9495239257812,185.9675750732422,494.92452,8.86249,False,This Supply Agreement this Agreement is made and entered into effective as of March 27 2019 the Effective Date by and,21,"This Supply Agreement (this “Agreement”) is made and entered into, effective as of March ,  (the “Effective Date”), by and",20,False,False
1,10,"between Miltenyi Biotec GmbH, a German corporation having an address at Friedrich-Ebert-Str. 68, 51429 Bergisch Gladbach, Germany",17,50.04999923706055,187.2296905517578,544.9496459960938,196.0671844482422,494.92465,8.86249,False,between Miltenyi Biotec GmbH a German corporation having an address at FriedrichEbertStr 68 51429 Bergisch Gladbach Germany,17,"between Miltenyi Biotec GmbH, a German corporation having an address at Friedrich-Ebert-Str. ,  Bergisch Gladbach, Germany",16,False,False
1,11,"(hereinafter referred to as “Miltenyi”), and Bellicum Pharmaceuticals, Inc., a US corporation, having a registered office at 2130 West",19,50.04999923706055,197.3292999267578,544.9500732421875,206.1667938232422,494.92507,8.86249,False,hereinafter referred to as Miltenyi and Bellicum Pharmaceuticals Inc a US corporation having a registered office at 2130 West,19,"(hereinafter referred to as “Miltenyi”), and Bellicum Pharmaceuticals, Inc., a US corporation, having a registered office at  West",18,False,False
1,12,"Holcombe Boulevard, Suite 800, Houston, TX 77030 (on behalf of itself and its Affiliates, individually and collectively referred to as",20,50.04999923706055,207.4289093017578,544.9503784179688,216.2664031982422,494.92538,8.86249,False,Holcombe Boulevard Suite 800 Houston TX 77030 on behalf of itself and its Affiliates individually and collectively referred to as,20,"Holcombe Boulevard, Suite , Houston, TX  (on behalf of itself and its Affiliates, individually and collectively referred to as",19,False,False
1,13,“Bellicum”). Miltenyi and Bellicum are sometimes referred to herein individually as a “Party” and collectively as the “Parties.”,18,50.04999923706055,217.5285186767578,495.7124938964844,226.3660125732422,445.68749,8.86249,False,Bellicum Miltenyi and Bellicum are sometimes referred to herein individually as a Party and collectively as the Parties,18,“Bellicum”). Miltenyi and Bellicum are sometimes referred to herein individually as a “Party” and collectively as the “Parties.”,18,False,False
1,14,RECITALS,1,276.0375061035156,235.24183654785156,318.9624938964844,244.07933044433594,42.94999,8.86249,False,RECITALS,1,RECITALS,1,False,False
1,15,"WHEREAS, Miltenyi is a biotechnology company having technology and expertise relating to, inter alia, monoclonal antibodies, cell",17,50.04999923706055,252.8800811767578,544.9503173828125,261.71759033203125,494.92532,8.86251,False,WHEREAS Miltenyi is a biotechnology company having technology and expertise relating to inter alia monoclonal antibodies cell,17,"WHEREAS, Miltenyi is a biotechnology company having technology and expertise relating to, inter alia, monoclonal antibodies, cell",17,False,False
1,16,"separation, and cell and gene therapy, and Miltenyi has developed and owns and controls various platform technologies for use in research",21,50.04999923706055,262.97967529296875,544.949951171875,271.81719970703125,494.92495,8.86252,False,separation and cell and gene therapy and Miltenyi has developed and owns and controls various platform technologies for use in research,21,"separation, and cell and gene therapy, and Miltenyi has developed and owns and controls various platform technologies for use in research",21,False,False
1,17,"and clinical applications and pharmaceutical development and manufacturing, including (i) systems, devices, reagents, disposables and",15,50.04999923706055,273.07928466796875,544.9501342773438,281.91680908203125,494.92514,8.86252,False,and clinical applications and pharmaceutical development and manufacturing including i systems devices reagents disposables and,15,"and clinical applications and pharmaceutical development and manufacturing, including (i) systems, devices, reagents, disposables and",15,False,False
1,18,"related procedures and protocols for cell processing (including cell enrichment, purification, activation, modification and expansion) and",16,50.04999923706055,283.17889404296875,544.9505615234375,292.01641845703125,494.92556,8.86252,False,related procedures and protocols for cell processing including cell enrichment purification activation modification and expansion and,16,"related procedures and protocols for cell processing (including cell enrichment, purification, activation, modification and expansion) and",16,False,False
1,19,"cell analysis, (ii) bioassay reagents, assays, probes and related materials, and (iii) clinical cell or sample processing systems;",18,50.04999923706055,293.27850341796875,491.2938537597656,302.11602783203125,441.26885,8.86252,False,cell analysis ii bioassay reagents assays probes and related materials and iii clinical cell or sample processing systems,18,"cell analysis, (ii) bioassay reagents, assays, probes and related materials, and (iii) clinical cell or sample processing systems;",18,False,False
1,20,"WHEREAS, Bellicum is a clinical stage biopharmaceutical company focused on discovering and developing cellular immunotherapies for",16,50.04999923706055,310.95428466796875,544.949951171875,319.79180908203125,494.92495,8.86252,False,WHEREAS Bellicum is a clinical stage biopharmaceutical company focused on discovering and developing cellular immunotherapies for,16,"WHEREAS, Bellicum is a clinical stage biopharmaceutical company focused on discovering and developing cellular immunotherapies for",16,False,False
1,21,"hematological cancers and solid tumors, as well as orphan inherited blood diseases;",12,50.04999923706055,321.05389404296875,346.73797607421875,329.89141845703125,296.71298,8.86252,False,hematological cancers and solid tumors as well as orphan inherited blood diseases,12,"hematological cancers and solid tumors, as well as orphan inherited blood diseases;",12,False,False
1,22,"WHEREAS, Bellicum desires to use certain Miltenyi Products (as defined below) solely for the Permitted Use (as defined below) in",20,50.04999923706055,338.72967529296875,544.9502563476562,347.56719970703125,494.92526,8.86252,False,WHEREAS Bellicum desires to use certain Miltenyi Products as defined below solely for the Permitted Use as defined below in,20,"WHEREAS, Bellicum desires to use certain Miltenyi Products (as defined below) solely for the Permitted Use (as defined below) in",20,False,False
1,23,connection with the development and manufacture of certain Bellicum Products (as defined below) by Bellicum and/or its Subcontractors,18,50.04999923706055,348.82928466796875,544.9500122070312,357.66680908203125,494.92501,8.86252,False,connection with the development and manufacture of certain Bellicum Products as defined below by Bellicum andor its Subcontractors,18,connection with the development and manufacture of certain Bellicum Products (as defined below) by Bellicum and/or its Subcontractors,18,False,False
1,24,"or Licensees (as defined below) for use in preclinical and clinical development programs and, if approved, for commercial use; and",20,50.04999923706055,358.92889404296875,517.8069458007812,367.76641845703125,467.78195,8.86252,False,or Licensees as defined below for use in preclinical and clinical development programs and if approved for commercial use and,20,"or Licensees (as defined below) for use in preclinical and clinical development programs and, if approved, for commercial use; and",20,False,False
1,25,"WHEREAS, Miltenyi desires to sell to Bellicum, and Bellicum desires to purchase from Miltenyi, the Miltenyi Products in accordance with",20,50.04999923706055,376.60467529296875,544.9502563476562,385.44219970703125,494.92526,8.86252,False,WHEREAS Miltenyi desires to sell to Bellicum and Bellicum desires to purchase from Miltenyi the Miltenyi Products in accordance with,20,"WHEREAS, Miltenyi desires to sell to Bellicum, and Bellicum desires to purchase from Miltenyi, the Miltenyi Products in accordance with",20,False,False
1,26,the terms and conditions set forth in this Agreement.,9,50.04999923706055,386.70428466796875,238.16261291503906,395.54180908203125,188.13761,8.86252,False,the terms and conditions set forth in this Agreement,9,the terms and conditions set forth in this Agreement.,9,False,False
1,27,"NOW, THEREFORE, in consideration of the foregoing and the mutual covenants contained herein, the Parties agree as follows:",18,50.04999923706055,404.38006591796875,504.5499267578125,413.21759033203125,454.52493,8.86252,False,NOW THEREFORE in consideration of the foregoing and the mutual covenants contained herein the Parties agree as follows,18,"NOW, THEREFORE, in consideration of the foregoing and the mutual covenants contained herein, the Parties agree as follows:",18,False,False
