page,paragraph_enum,text,clean_text,y0,x0,y1,x1,width,height
1,0,"Exhibit 10.1 [***] = Certain confidential information contained in this document, marked by brackets, has been omitted because it is both (i) not material and (ii) would likely be competitively harmful if publicly disclosed.","Exhibit 10.1 [***] = Certain confidential information contained in this document, marked by brackets, has been omitted because it is both (i) not material and (ii) would likely be competitively harmful if publicly disclosed.",51.24300003051758,272.25,85.33167266845703,544.9500732421875,272.7000732421875,34.08867263793945
1,3,(MB Global Contract Number MBGCR 19001),(MB Global Contract Number MBGCR 19001),159.9360809326172,222.38125610351562,168.142333984375,373.2501220703125,150.86886596679688,8.206253051757812
1,6,"WHEREAS, Miltenyi is a biotechnology company having technology and expertise relating to, inter alia, monoclonal antibodies, cell separation, and cell and gene therapy, and Miltenyi has developed and owns and controls various platform technologies for use in research and clinical applications and pharmaceutical development and manufacturing, including (i) systems, devices, reagents, disposables and related procedures and protocols for cell processing (including cell enrichment, purification, activation, modification and expansion) and cell analysis, (ii) bioassay reagents, assays, probes and related materials, and (iii) clinical cell or sample processing systems;","WHEREAS, Miltenyi is a biotechnology company having technology and expertise relating to, inter alia, monoclonal antibodies, cell separation, and cell and gene therapy, and Miltenyi has developed and owns and controls various platform technologies for use in research and clinical applications and pharmaceutical development and manufacturing, including (i) systems, devices, reagents, disposables and related procedures and protocols for cell processing (including cell enrichment, purification, activation, modification and expansion) and cell analysis, (ii) bioassay reagents, assays, probes and related materials, and (iii) clinical cell or sample processing systems;",252.8800811767578,50.04999923706055,302.11602783203125,544.9505615234375,494.90056228637695,49.23594665527344
1,7,"WHEREAS, Bellicum is a clinical stage biopharmaceutical company focused on discovering and developing cellular immunotherapies for hematological cancers and solid tumors, as well as orphan inherited blood diseases;","WHEREAS, Bellicum is a clinical stage biopharmaceutical company focused on discovering and developing cellular immunotherapies for hematological cancers and solid tumors, as well as orphan inherited blood diseases;",310.95428466796875,50.04999923706055,329.89141845703125,544.949951171875,494.89995193481445,18.9371337890625
1,9,"WHEREAS, Miltenyi desires to sell to Bellicum, and Bellicum desires to purchase from Miltenyi, the Miltenyi Products in accordance with the terms and conditions set forth in this Agreement.","WHEREAS, Miltenyi desires to sell to Bellicum, and Bellicum desires to purchase from Miltenyi, the Miltenyi Products in accordance with the terms and conditions set forth in this Agreement.",376.60467529296875,50.04999923706055,395.54180908203125,544.9502563476562,494.9002571105957,18.9371337890625
1,10,"NOW, THEREFORE, in consideration of the foregoing and the mutual covenants contained herein, the Parties agree as follows:","NOW, THEREFORE, in consideration of the foregoing and the mutual covenants contained herein, the Parties agree as follows:",404.38006591796875,50.04999923706055,413.21759033203125,504.5499267578125,454.49992752075195,8.8375244140625
1,12,"1.1 Definitions. For the purposes of this Agreement, unless the context requires otherwise, the following terms shall have the meanings set forth below:","1.1 Definitions. For the purposes of this Agreement, unless the context requires otherwise, the following terms shall have the meanings set forth below:",439.72967529296875,50.04999923706055,459.29766845703125,544.949951171875,494.89995193481445,19.5679931640625
1,13,“Additional Countries” shall have the meaning set forth in Section 2.3 of this Agreement.,“Additional Countries” shall have the meaning set forth in Section 2.3 of this Agreement.,468.13592529296875,50.04999923706055,476.97344970703125,365.6749267578125,315.62492752075195,8.8375244140625
1,14,"“Affiliate” means, with respect to a Party, any corporation, association, or other entity which, directly or indirectly, controls the Party or is controlled by the Party or is under common control with such Party, where “control“ means the possession, directly or indirectly, of the power to direct or cause the direction of the affairs or management of a corporation, association, or other entity through the ownership of fifty percent","“Affiliate” means, with respect to a Party, any corporation, association, or other entity which, directly or indirectly, controls the Party or is controlled by the Party or is under common control with such Party, where “control“ means the possession, directly or indirectly, of the power to direct or cause the direction of the affairs or management of a corporation, association, or other entity through the ownership of fifty percent",485.80975341796875,50.04999923706055,524.9480590820312,544.95068359375,494.90068435668945,39.1383056640625
2,0,"or more of the voting securities or otherwise, including having the power to elect a majority of the board of directors or other governing body of such corporation, association, or other entity.","or more of the voting securities or otherwise, including having the power to elect a majority of the board of directors or other governing body of such corporation, association, or other entity.",101.38398742675781,50.04999923706055,121.58477020263672,544.9508666992188,494.9008674621582,20.200782775878906
2,2,"“Agreement” means this Supply Agreement, including Exhibits A, B, C, D, E, F and G attached hereto and incorporated herein, as amended from time to time in accordance with Section 20.3 hereof.","“Agreement” means this Supply Agreement, including Exhibits A, B, C, D, E, F and G attached hereto and incorporated herein, as amended from time to time in accordance with Section 20.3 hereof.",235.2082061767578,50.04999923706055,255.4089813232422,544.9500122070312,494.9000129699707,20.200775146484375
2,3,"“Applicable Laws” means all supranational, national, state and local laws, rules and regulations and guidelines governing the activities of a Party described in this Agreement within the Territory that are applicable to the manufacture, use, storage, import, export and handling of the Miltenyi Products, including any applicable rules, regulations, guidelines, and other requirements of any Regulatory Authority that may be in effect in the Territory from time to time.","“Applicable Laws” means all supranational, national, state and local laws, rules and regulations and guidelines governing the activities of a Party described in this Agreement within the Territory that are applicable to the manufacture, use, storage, import, export and handling of the Miltenyi Products, including any applicable rules, regulations, guidelines, and other requirements of any Regulatory Authority that may be in effect in the Territory from time to time.",268.03436279296875,50.04999923706055,310.95977783203125,544.9509887695312,494.9009895324707,42.9254150390625
2,5,"“Bellicum Program” means a specific Bellicum program for preclinical, clinical development and/or commercialization relating to one or more Bellicum Products as such program is identified and described in a Module to this Agreement.","“Bellicum Program” means a specific Bellicum program for preclinical, clinical development and/or commercialization relating to one or more Bellicum Products as such program is identified and described in a Module to this Agreement.",390.49725341796875,50.04999923706055,410.69610595703125,544.9503173828125,494.90031814575195,20.1988525390625
2,6,"“Business Day” means any day on which banking institutions in both San Francisco, US, and Bergisch Gladbach, Germany, are open for business","“Business Day” means any day on which banking institutions in both San Francisco, US, and Bergisch Gladbach, Germany, are open for business",423.32147216796875,50.04999923706055,443.52227783203125,544.9501953125,494.90019607543945,20.2008056640625
2,7,"“Calendar Quarter” means each successive period of three consecutive calendar months commencing on January 1, April 1, July 1 and October 1.","“Calendar Quarter” means each successive period of three consecutive calendar months commencing on January 1, April 1, July 1 and October 1.",456.14569091796875,50.04999923706055,476.34649658203125,544.9505004882812,494.9005012512207,20.2008056640625
2,8,"“Calendar Year” means each successive period of twelve (12) months (each, a “Calendar Month”) commencing on January 1 and ending on December 31, except that the first Calendar Year shall be that period from and including the Effective Date through December 31 of that same year, and the last Calendar Year shall be that period from and including the last January 1 of the Term through the earlier of the date of expiration or termination of this Agreement.","“Calendar Year” means each successive period of twelve (12) months (each, a “Calendar Month”) commencing on January 1 and ending on December 31, except that the first Calendar Year shall be that period from and including the Effective Date through December 31 of that same year, and the last Calendar Year shall be that period from and including the last January 1 of the Term through the earlier of the date of expiration or termination of this Agreement.",488.97186279296875,50.04999923706055,531.8972778320312,544.9506225585938,494.9006233215332,42.9254150390625
3,0,"“[...***...]” shall mean, with respect to the efforts and resources required to fulfill any obligation hereunder, the use of [...***...] of companies in the pharmaceutical industry or the biotech industry.","“[...***...]” shall mean, with respect to the efforts and resources required to fulfill any obligation hereunder, the use of [...***...] of companies in the pharmaceutical industry or the biotech industry.",102.01289367675781,50.04999923706055,122.21172332763672,544.9500732421875,494.90007400512695,20.198829650878906
3,1,“Communication” shall have the meaning set forth in Section 4.5.,“Communication” shall have the meaning set forth in Section 4.5.,134.8371124267578,50.04999923706055,143.6746063232422,283.61260986328125,233.5626106262207,8.837493896484375
3,2,“Confidential Information” shall have the meaning set forth in Section 14.,“Confidential Information” shall have the meaning set forth in Section 14.,156.3000030517578,50.04999923706055,165.1374969482422,312.0187683105469,261.9687690734863,8.837493896484375
3,3,“Contract Year” means each successive period of twelve (12)-months during the Term ending on each anniversary of the Effective Date of this Agreement.,“Contract Year” means each successive period of twelve (12)-months during the Term ending on each anniversary of the Effective Date of this Agreement.,177.7628936767578,50.04999923706055,197.9617156982422,544.9497680664062,494.8997688293457,20.198822021484375
3,4,“Delivery” and “Deliver” shall have the meaning set forth in Section 6.1(a).,“Delivery” and “Deliver” shall have the meaning set forth in Section 6.1(a).,210.5871124267578,50.04999923706055,219.4246063232422,317.6999816894531,267.6499824523926,8.837493896484375
3,5,“Designated Countries” means those countries listed under section “Designated Countries” on the Bellicum Product specific Module.,“Designated Countries” means those countries listed under section “Designated Countries” on the Bellicum Product specific Module.,232.0500030517578,50.04999923706055,240.8874969482422,522.8564453125,472.80644607543945,8.837493896484375
3,6,“Discounts” shall have the meaning set forth in Section 8.4.,“Discounts” shall have the meaning set forth in Section 8.4.,253.5128936767578,50.04999923706055,262.35040283203125,263.4125671386719,213.36256790161133,8.837509155273438
3,7,"Ex Vivo “ Cell Processing” means the selection, modification, alteration, activation and/or expansion of cells outside the human body.","Ex Vivo “ Cell Processing” means the selection, modification, alteration, activation and/or expansion of cells outside the human body.",274.9715270996094,50.04999923706055,283.81134033203125,522.224853515625,472.17485427856445,8.839813232421875
3,8,"“Facility” means (i) any production site owned or leased by Miltenyi or its Affiliate or by a Subcontractor of Miltenyi that is used for the manufacture of the Miltenyi Products, and (ii) any warehouse or distribution facility of Miltenyi or its Affiliate or a Subcontractor of Miltenyi that holds or ships Miltenyi Products, as the case may be.","“Facility” means (i) any production site owned or leased by Miltenyi or its Affiliate or by a Subcontractor of Miltenyi that is used for the manufacture of the Miltenyi Products, and (ii) any warehouse or distribution facility of Miltenyi or its Affiliate or a Subcontractor of Miltenyi that holds or ships Miltenyi Products, as the case may be.",296.43670654296875,50.04999923706055,327.99884033203125,544.9500732421875,494.90007400512695,31.5621337890625
3,9,"“Field” means genetically modified, cell-based therapeutics for the treatment of human diseases, including but not limited to treatment of solid tumors and hematological cancers.","“Field” means genetically modified, cell-based therapeutics for the treatment of human diseases, including but not limited to treatment of solid tumors and hematological cancers.",340.62420654296875,50.04999923706055,360.82501220703125,544.9498291015625,494.89982986450195,20.2008056640625
3,10,“Firm Zone” shall have the meaning provided in Section 5.1(a).,“Firm Zone” shall have the meaning provided in Section 5.1(a).,373.45037841796875,50.04999923706055,382.28790283203125,275.40618896484375,225.3561897277832,8.8375244140625
3,11,“Forecast” shall have the meaning provided in Article 5 of this Agreement.,“Forecast” shall have the meaning provided in Article 5 of this Agreement.,394.91131591796875,50.04999923706055,403.74884033203125,315.1749267578125,265.12492752075195,8.8375244140625
3,12,"“Forecast Territory” means those countries where a particular Bellicum Product is manufactured, and for such manufacturing where relevant Miltenyi Products are shipped, as listed under section “Forecast Territory” on the Bellicum Product specific Module.","“Forecast Territory” means those countries where a particular Bellicum Product is manufactured, and for such manufacturing where relevant Miltenyi Products are shipped, as listed under section “Forecast Territory” on the Bellicum Product specific Module.",416.37420654296875,50.04999923706055,436.57501220703125,544.950439453125,494.90044021606445,20.2008056640625
